分组	标准名	编号	批准日期	文号	发布单位	官方链接	全文PDF	红头PDF	附件	备注
设备与智能化	广电接入网工程技术标准		2021-11-17	沪建标定〔2021〕726号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=807186a143794b3298ac1dfdd4ed0354&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/92/92e1fd8b1a214cc6add862e4e5c29f39/9946b90eb9e49aa9e2deee675087a022.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%B9%BF%E7%94%B5%E6%8E%A5%E5%85%A5%E7%BD%91%E5%B7%A5%E7%A8%8B%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
装配式与外围护	预制装配式悬臂挡土墙技术标准	DG/TJ08-2389-2021	2021-11-03	沪建标定〔2021〕696号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=32e8efbac0cd48938ca9585b64b9bccb&siteId=0011	https://zjw.sh.gov.cn/cmsres/63/63a518e8a0a64cb68bae33dd0a6512ad/e3b63748933565bd45d2a714830a393e.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/05/055f5131aeb54ae1a0b3b61f60db2c8c/f785538d3cae88be6dbb53c1683c4eca.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E9%A2%84%E5%88%B6%E8%A3%85%E9%85%8D%E5%BC%8F%E6%82%AC%E8%87%82%E6%8C%A1%E5%9C%9F%E5%A2%99%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2022-04-01
水务与海绵	上海市雨水口截污过滤装置技术规程		2021-10-20	沪水务〔2021〕710号	上海市水务局	https://www.shanghai.gov.cn/zhengce/detail?businessId=2b078f196cb044e7af032dc2c77d2d11&siteId=0004		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/10/10143033bcc14f52b4029d00996b500c/c0a206885957918005c98c70187263b7.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B0%B4%E5%8A%A1%E5%B1%80%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%9B%A8%E6%B0%B4%E5%8F%A3%E6%88%AA%E6%B1%A1%E8%BF%87%E6%BB%A4%E8%A3%85%E7%BD%AE%E6%8A%80%E6%9C%AF%E8%A7%84%E7%A8%8B%E3%80%8B%E7%9A%84%E9%80%9A%E7%9F%A5.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/b7/b70c995d4c6b4293a7ed49a16ef4527b/f71f5f960bb5f14f697a99dd1f404e95.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E9%9B%A8%E6%B0%B4%E5%8F%A3%E6%88%AA%E6%B1%A1%E8%BF%87%E6%BB%A4%E8%A3%85%E7%BD%AE%E6%8A%80%E6%9C%AF%E8%A7%84%E7%A8%8B%EF%BC%88%E5%8F%91%E5%B8%83%E7%A8%BF%EF%BC%89.pdf	新批准，现行标准栏目未收录
设备与智能化	上海市排水检测井技术规程		2021-10-19	沪水务〔2021〕703号	上海市水务局	https://www.shanghai.gov.cn/zhengce/detail?businessId=f12dc0b543544f3f9093b5be8d5ec18f&siteId=0004		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/02/020d61db409848aa8a66d7056003ad10/3620bd4b3818d44b96a9f5a2ecc25eb9.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B0%B4%E5%8A%A1%E5%B1%80%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%8E%92%E6%B0%B4%E6%A3%80%E6%B5%8B%E4%BA%95%E6%8A%80%E6%9C%AF%E8%A7%84%E7%A8%8B%E3%80%8B%E5%92%8C%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%8E%92%E6%B0%B4%E6%A3%80%E6%B5%8B%E4%BA%95%E5%9B%BE%E9%9B%86%E3%80%8B%E7%9A%84%E9%80%9A%E7%9F%A5.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/77/77d6d58f77ea4c248311ce53fbe365e1/761806a47f638b5864deca7d36a70e33.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%8E%92%E6%B0%B4%E6%A3%80%E6%B5%8B%E4%BA%95%E5%9B%BE%E9%9B%86-%E7%BB%88%E7%A8%BF.pdf	新批准，现行标准栏目未收录
设备与智能化	上海市排水检测井图集		2021-10-19	沪水务〔2021〕703号	上海市水务局	https://www.shanghai.gov.cn/zhengce/detail?businessId=f12dc0b543544f3f9093b5be8d5ec18f&siteId=0004		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/02/020d61db409848aa8a66d7056003ad10/3620bd4b3818d44b96a9f5a2ecc25eb9.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%B0%B4%E5%8A%A1%E5%B1%80%E5%85%B3%E4%BA%8E%E5%8D%B0%E5%8F%91%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%8E%92%E6%B0%B4%E6%A3%80%E6%B5%8B%E4%BA%95%E6%8A%80%E6%9C%AF%E8%A7%84%E7%A8%8B%E3%80%8B%E5%92%8C%E3%80%8A%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%8E%92%E6%B0%B4%E6%A3%80%E6%B5%8B%E4%BA%95%E5%9B%BE%E9%9B%86%E3%80%8B%E7%9A%84%E9%80%9A%E7%9F%A5.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0004/77/77d6d58f77ea4c248311ce53fbe365e1/761806a47f638b5864deca7d36a70e33.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E6%8E%92%E6%B0%B4%E6%A3%80%E6%B5%8B%E4%BA%95%E5%9B%BE%E9%9B%86-%E7%BB%88%E7%A8%BF.pdf	新批准，现行标准栏目未收录
施工与质量安全	危险性较大的分部分项工程安全管理标准	DG/TJ 082077-2021	2021-10-09	沪建标定〔2021〕630号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=e47f529ad7154cf9a7db057d4df5593f&siteId=0011	https://zjw.sh.gov.cn/cmsres/f5/f52e44bb77924a0c8f88f1d36643a468/23875c19f24a5a662e7c7cda4a756893.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/bb/bb9671f285424ac09b1c1736347ea20c/cc5f6bebcdc9ad428d3fd2b3b993e6bf.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%8D%B1%E9%99%A9%E6%80%A7%E8%BE%83%E5%A4%A7%E7%9A%84%E5%88%86%E9%83%A8%E5%88%86%E9%A1%B9%E5%B7%A5%E7%A8%8B%E5%AE%89%E5%85%A8%E7%AE%A1%E7%90%86%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2022-03-01
消防与人防	道路隧道消防设施养护技术标准		2021-09-15	沪建标定〔2021〕585号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=6ceaecce1a7d4b51a24c843cc37f1925&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/ae/aeaddfa13d8c4a60b7e6696e3f8fb98b/90980eda9fd55c47178e292b0549c4a2.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E9%81%93%E8%B7%AF%E9%9A%A7%E9%81%93%E6%B6%88%E9%98%B2%E8%AE%BE%E6%96%BD%E5%85%BB%E6%8A%A4%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
装配式与外围护	预制拼装桥梁技术标准	DG/TJ08-2160-2021	2021-09-15	沪建标定〔2021〕587号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=abafd1e3dc594ebcadaddc7ef0473c87&siteId=0011	https://zjw.sh.gov.cn/cmsres/e4/e47f013d396e418a93926490490986e0/c370ffccb6f73f70d405611d16fbc7b9.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/dd/dd1002b9870b4bfba4def630a2740736/23dfd8958d0467f3c88d701c09d793b1.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E9%A2%84%E5%88%B6%E6%8B%BC%E8%A3%85%E6%A1%A5%E6%A2%81%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2022-02-01
消防与人防	城市灾害损失评估技术标准	DG/TJ 08-2383-2021	2021-09-06	沪建标定〔2021〕556号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=42e95ae454f44660904326f74d983fb5&siteId=0011	https://zjw.sh.gov.cn/cmsres/34/346b3a0f11e64bb18b7a1c763f6318c3/3e49eae9dc9d823cd39faf446ac49da4.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/92/92dded6139db4dd4a41c85224b6aad50/70c1b875d2bd62d526c997209a258402.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E5%B8%82%E7%81%BE%E5%AE%B3%E6%8D%9F%E5%A4%B1%E8%AF%84%E4%BC%B0%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2022-02-01
建筑与住区	建筑墙面涂料涂饰工程技术标准		2021-09-03	沪建标定〔2021〕559号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=88fc1cf6115246ccacc05cd28b6caf74&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/14/14b9fa29263644418c977a1cc3a0725d/2f13c094eb043f5aa2bcfcbd1756d645.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%BB%BA%E7%AD%91%E5%A2%99%E9%9D%A2%E6%B6%82%E6%96%99%E6%B6%82%E9%A5%B0%E5%B7%A5%E7%A8%8B%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
水务与海绵	城镇污水处理厂恶臭气体治理技术标准		2021-08-17	沪建标定〔2021〕528号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=9b415e54d19a4c2d8fa2b3ac86923086&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/9c/9cb97825eb534a9ca1c2c09067dc6f3e/7100d29e29bd71efe6ba65468a7f2838.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E9%95%87%E6%B1%A1%E6%B0%B4%E5%A4%84%E7%90%86%E5%8E%82%E6%81%B6%E8%87%AD%E6%B0%94%E4%BD%93%E6%B2%BB%E7%90%86%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
建筑与住区	建筑工程施工质量资料管理标准		2021-08-10	沪建标定〔2021〕518号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=7d22371f540f4244b992d4f4e58d99b6&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/12/124a4298f1a6489c8b2e876bc5d33a82/4bff6a462c9734de5a3c2b0fe736cf10.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%BB%BA%E7%AD%91%E5%B7%A5%E7%A8%8B%E6%96%BD%E5%B7%A5%E8%B4%A8%E9%87%8F%E8%B5%84%E6%96%99%E7%AE%A1%E7%90%86%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
绿化与市容	园林绿化栽植土质量标准	DG/TJ 08-231-2021	2021-08-10	沪建标定〔2021〕511号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=e44ef4ae8b914aa4b0d841e123eefdd6&siteId=0011	https://zjw.sh.gov.cn/cmsres/52/5202de016568449da70e1a253069727f/f6ee8f38330dbdc0cea3db180196ea6b.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/f8/f89f680649944285afd6130722266d2c/05296fa65f44de9d374c87743e112059.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9B%AD%E6%9E%97%E7%BB%BF%E5%8C%96%E6%A0%BD%E6%A4%8D%E5%9C%9F%E8%B4%A8%E9%87%8F%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2021-12-01
装配式与外围护	建筑浮筑楼板保温隔声系统构造		2021-08-10	沪建标定〔2021〕512号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=22c4f8b87dd34c56a6b73f53c2cbc9b6&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/3a/3ad96e2d82db4b73a6e138137dd26b28/ad51470a3d33c48bf639ce91ff7a97cc.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%BB%BA%E7%AD%91%E6%B5%AE%E7%AD%91%E6%A5%BC%E6%9D%BF%E4%BF%9D%E6%B8%A9%E9%9A%94%E5%A3%B0%E7%B3%BB%E7%BB%9F%E6%9E%84%E9%80%A0%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%BB%BA%E7%AD%91%E6%A0%87%E5%87%86%E8%AE%BE%E8%AE%A1%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
设备与智能化	地源热泵系统工程技术标准	DG/TJ08-2119-2021	2021-08-10	沪建标定〔2021〕514号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=b183379187b046afb75ebfcc8f1b6c9e&siteId=0011	https://zjw.sh.gov.cn/cmsres/6b/6be97a4255834810b8406ede38dcc0f5/7def06be63c4640b8417e9dc00f68ce3.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/b7/b7313c601c0a45c5a094762fa050af53/9dd181ab1847bea529505c09709da622.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9C%B0%E6%BA%90%E7%83%AD%E6%B3%B5%E7%B3%BB%E7%BB%9F%E5%B7%A5%E7%A8%8B%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2021-12-01
轨道交通与地下工程	城市轨道交通CBTC信号系统技术标准		2021-08-10	沪建标定〔2021〕519号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=fdb26e12ee45424bb87a550168ddbbb2&siteId=0011		https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/67/67d3ec593ecb43f6a524600cfb71aac5/d1bf96e3fbe3d3034ec043def2a6872f.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E5%9F%8E%E5%B8%82%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9ACBTC%E4%BF%A1%E5%8F%B7%E7%B3%BB%E7%BB%9F%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		新批准，现行标准栏目未收录
结构与抗震	轨道交通及隧道工程混凝土结构耐久性设计施工技术标准	DG/TJ08-2128-2021	2021-07-06	沪建标定〔2021〕352号	上海市住房和城乡建设管理委员会	https://www.shanghai.gov.cn/zhengce/detail?businessId=61cbd40726d44d6ab444e077b095f75b&siteId=0011	https://zjw.sh.gov.cn/cmsres/07/071599930c4b42b6b9cdb4f7dae638e8/374400a3820dc84e9174f63efe41384a.pdf	https://www.shanghai.gov.cn/gwk/resource/file?pathname=2/0011/97/97e5c63482af4186876b01d7abf9efad/fc7eae9ccdcb9dd5763eaace9851998f.pdf&filename=%E4%B8%8A%E6%B5%B7%E5%B8%82%E4%BD%8F%E6%88%BF%E5%92%8C%E5%9F%8E%E4%B9%A1%E5%BB%BA%E8%AE%BE%E7%AE%A1%E7%90%86%E5%A7%94%E5%91%98%E4%BC%9A%E5%85%B3%E4%BA%8E%E6%89%B9%E5%87%86%E3%80%8A%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A%E5%8F%8A%E9%9A%A7%E9%81%93%E5%B7%A5%E7%A8%8B%E6%B7%B7%E5%87%9D%E5%9C%9F%E7%BB%93%E6%9E%84%E8%80%90%E4%B9%85%E6%80%A7%E8%AE%BE%E8%AE%A1%E6%96%BD%E5%B7%A5%E6%8A%80%E6%9C%AF%E6%A0%87%E5%87%86%E3%80%8B%E4%B8%BA%E4%B8%8A%E6%B5%B7%E5%B8%82%E5%B7%A5%E7%A8%8B%E5%BB%BA%E8%AE%BE%E8%A7%84%E8%8C%83%E7%9A%84%E9%80%9A%E7%9F%A5.pdf		现行标准栏目已收录/实施 2021-11-01
结构与抗震	基坑工程微变形控制技术标准	DG/TJ08-2364-2021	2021-07-06	沪建标定〔2021〕246 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20210706/bcf66f09656e45699e38c7d497bf0df6.html	https://zjw.sh.gov.cn/cmsres/da/da27c996f8ea4ef98b787869dd608d9f/ff7e2b71e196731b8074a95bbe2910ed.pdf		https://zjw.sh.gov.cn/cmsres/ad/adbe45cb07cf42928d95ed6eea2cd391/d18063610dfb05d50c7c8e1104e0c5b5.pdf	现行标准栏目已收录/实施 2021-10-01
结构与抗震	人造山工程技术标准	DG/TJ08-2358-2021	2021-07-06	沪建标定〔2021〕244 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20210706/d9e4b0144b474f7caee9c50a9c799b81.html	https://zjw.sh.gov.cn/cmsres/65/6502195e0d86405ebc0b0c562bfb0bcc/afdcef4f6b9885152e0d0c57af8557b6.pdf		https://zjw.sh.gov.cn/cmsres/9f/9fc7faeefc144ebb999832229832b0d0/c86b15ea16b37aa895d9bdab0d360d69.pdf	现行标准栏目已收录/实施 2021-09-01
绿色建筑与节能	绿色建材评价通用标准（第二册）	DG/TJ08-2352-2021	2021-07-06	沪建标定〔2021〕245 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20210706/aa3d8ced291849b591819616affdfe31.html	https://zjw.sh.gov.cn/cmsres/57/5750f7243055414ba4830999730643cb/ca0573212a8567f33f336d50b90b9302.pdf		https://zjw.sh.gov.cn/cmsres/ef/ef99e6f12e264725a43edc82b1d70a8e/1174d1cccd90a165a410040537c27ce4.pdf	现行标准栏目已收录/实施 2021-09-01
装配式与外围护	装配整体式混凝土结构工程监理标准	DG/TJ08-2360-2021	2021-07-06	沪建标定〔2021〕299 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20210706/03c0db6097954d099b4e0132791ea38c.html	https://zjw.sh.gov.cn/cmsres/61/6122e3795f0e48f3a9aadd3446804174/db6823fbb85b6895a726585e8c719e1a.pdf		https://zjw.sh.gov.cn/cmsres/a1/a19d2acce9904ca48ddb839089a9b669/57c3e66fe01fd889e3f8eb9d9b947ae6.pdf	现行标准栏目已收录/实施 2021-10-01
市政与道路	钢桥面铺装工程应用技术标准	DG/TJ08-2353-2020	2021-07-01	沪建标定〔2021〕183 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20210701/1a1a6feeb49c4ce49c673009a80e8c5e.html	https://zjw.sh.gov.cn/cmsres/ff/ff2f81bb6eb5476aa854f4ee636cb059/6dc36b93c04e3c5ea3e985a89985ef94.pdf		https://zjw.sh.gov.cn/cmsres/32/32757f5a6f0347dbb588f71da5c6e7e2/4312086855b65a6cb1ffb786009aa2f4.pdf	现行标准栏目已收录/实施 2021-09-01
市政与道路	桥梁顶升施工技术标准		2021-07-01	沪建标定〔2021〕182 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20210701/c2be611411844d2eba6daf394d3fae49.html			https://zjw.sh.gov.cn/cmsres/da/dab022bb25304a9e90393a9651b51691/6ee052b61c7ca17fdbc36bf0d1ca768c.pdf	新批准，现行标准栏目未收录
装配式与外围护	外墙保温系统及材料应用统一技术规定（暂行）		2021-07-01	沪建建材〔2021〕113 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20210701/661436f1be02428a9707580e8065f045.html			https://zjw.sh.gov.cn/cmsres/b0/b05ad55a273e40018f0c033a6b5dc9c1/b832225b04dfe0764367b0cb4794117a.pdf	新批准，现行标准栏目未收录
市政与道路	综合杆设施技术标准	DG/TJ08-2362-2021	2021-06-28	沪建标定〔2021〕83 号	上海市住房和城乡建设管理委员会	https://zjw.sh.gov.cn/jsgl/20210628/7aebc86490554ecf8687dad519509496.html	https://zjw.sh.gov.cn/cmsres/de/deaa94199cfc40d5b8f7ee015cf5a467/bb3bbffe1d839012e700ed95cfb9974c.pdf		https://zjw.sh.gov.cn/cmsres/64/64f3ea5a2b7d4f4c83e7ccb1d51bd4aa/eff75de2036ca33b20d6515622145315.pdf	现行标准栏目已收录/实施 2021-08-01
